Carrier,Flight,Origin,Month,Delay
9E,3317,JFK,1,
9E,3325,JFK,1,-2
9E,3325,JFK,1,-6
9E,3331,JFK,1,1
9E,3369,JFK,1,22
9E,3387,JFK,1,13
9E,3409,JFK,1,27
9E,3422,JFK,1,29
9E,3422,JFK,1,-6
9E,3459,JFK,1,291
9E,3483,JFK,1,-8
9E,3483,JFK,1,-8
9E,3521,JFK,1,-3
9E,3523,JFK,1,
9E,3525,JFK,1,0
9E,3525,JFK,1,-7
9E,3609,JFK,1,-3
9E,3635,JFK,1,113
9E,3638,JFK,1,-5
9E,3689,JFK,1,-5
9E,3719,LGA,1,-10
9E,3961,LGA,1,-5
9E,4023,EWR,1,
9E,4033,LGA,1,
9E,4091,JFK,1,
9E,4127,JFK,1,-2
9E,4357,JFK,1,-13
9E,4357,JFK,1,
AA,3,JFK,1,5
AA,19,JFK,1,-6
AA,119,EWR,1,-2
AA,133,JFK,1,-1
AA,177,JFK,1,0
AA,181,JFK,1,-2
AA,185,JFK,1,-4
AA,269,JFK,1,-7
AA,301,LGA,1,3
AA,313,LGA,1,-6
AA,359,LGA,1,-2
AA,371,LGA,1,-2
AA,443,JFK,1,0
AA,543,JFK,1,33
AA,647,JFK,1,4
AA,655,JFK,1,-11
AA,715,LGA,1,60
AA,715,LGA,1,102
AA,721,LGA,1,-3
AA,721,LGA,1,-3
AA,731,LGA,1,-3
AA,743,LGA,1,-9
AA,743,LGA,1,-3
AA,753,LGA,1,-1
AA,1039,JFK,1,2
AA,1073,LGA,1,10
AA,1762,JFK,1,-2
AA,1787,JFK,1,28
AA,1790,JFK,1,-4
AA,1813,JFK,1,-3
AA,1895,EWR,1,-4
AA,2019,LGA,1,-5
AA,2075,EWR,1,113
AA,2083,EWR,1,-4
AS,7,EWR,1,14
B6,8,JFK,1,62
B6,8,JFK,1,-1
B6,9,JFK,1,-7
B6,17,JFK,1,29
B6,20,JFK,1,-4
B6,22,JFK,1,0
B6,30,JFK,1,-7
B6,30,JFK,1,-4
B6,49,JFK,1,-3
B6,59,JFK,1,-6
B6,87,JFK,1,2
B6,117,JFK,1,-4
B6,117,JFK,1,-5
B6,119,JFK,1,44
B6,145,JFK,1,-4
B6,147,JFK,1,-4
B6,153,JFK,1,8
B6,179,JFK,1,-3
B6,179,JFK,1,5
B6,209,JFK,1,15
B6,215,EWR,1,-2
B6,215,EWR,1,-4
B6,227,EWR,1,-2
B6,343,EWR,1,-2
B6,355,JFK,1,-5
B6,359,JFK,1,10
B6,361,LGA,1,-4
B6,399,LGA,1,7
B6,399,LGA,1,-4
B6,503,EWR,1,0
B6,527,EWR,1,287
B6,615,JFK,1,2
B6,629,JFK,1,69
B6,629,JFK,1,-2
B6,717,JFK,1,0
B6,725,JFK,1,-4
B6,905,JFK,1,73
B6,983,LGA,1,-8
B6,983,LGA,1,-4
B6,989,JFK,1,8
B6,989,JFK,1,-3
B6,991,JFK,1,-4
B6,1016,JFK,1,-5
B6,1016,JFK,1,-6
B6,1018,JFK,1,-3
B6,1053,JFK,1,-2
B6,1061,JFK,1,23
B6,1069,JFK,1,-7
B6,1069,JFK,1,0
B6,1111,JFK,1,2
B6,1161,LGA,1,-2
B6,1172,EWR,1,-2
B6,1176,EWR,1,-12
B6,1783,JFK,1,11
B6,1783,JFK,1,7
DL,31,JFK,1,-2
DL,31,JFK,1,-5
DL,91,JFK,1,9
DL,161,JFK,1,83
DL,181,LGA,1,
DL,181,LGA,1,-5
DL,181,LGA,1,71
DL,301,JFK,1,-10
DL,485,EWR,1,-6
DL,731,LGA,1,-3
DL,781,LGA,1,-7
DL,847,LGA,1,6
DL,847,LGA,1,-7
DL,926,EWR,1,38
DL,926,EWR,1,-4
DL,963,JFK,1,-3
DL,963,JFK,1,-6
DL,963,JFK,1,-4
DL,1031,LGA,1,15
DL,1047,LGA,1,0
DL,1131,LGA,1,-3
DL,1185,EWR,1,-2
DL,1275,JFK,1,0
DL,1275,JFK,1,-1
DL,1485,LGA,1,-5
DL,1531,LGA,1,-9
DL,1627,JFK,1,3
DL,1685,LGA,1,-5
DL,1695,LGA,1,0
DL,1729,JFK,1,-2
DL,1765,JFK,1,-6
DL,1771,JFK,1,-2
DL,1771,JFK,1,0
DL,1779,LGA,1,-1
DL,1847,LGA,1,23
DL,1854,LGA,1,2
DL,1919,LGA,1,-6
DL,2003,LGA,1,-3
DL,2027,JFK,1,-4
DL,2042,EWR,1,-3
DL,2042,EWR,1,-4
DL,2043,JFK,1,-5
DL,2044,LGA,1,-3
DL,2047,LGA,1,-3
DL,2119,LGA,1,95
DL,2119,LGA,1,478
DL,2190,JFK,1,-10
DL,2219,LGA,1,8
DL,2343,EWR,1,0
DL,2363,JFK,1,-6
DL,2395,LGA,1,-7
EV,3261,EWR,1,-3
EV,3274,LGA,1,-8
EV,3819,EWR,1,52
EV,3835,EWR,1,33
EV,3835,EWR,1,-8
EV,4085,EWR,1,-10
EV,4087,EWR,1,25
EV,4088,EWR,1,72
EV,4090,EWR,1,1
EV,4119,EWR,1,-4
EV,4133,EWR,1,5
EV,4175,EWR,1,5
EV,4204,EWR,1,30
EV,4214,EWR,1,3
EV,4231,EWR,1,64
EV,4233,EWR,1,1
EV,4241,EWR,1,-1
EV,4264,EWR,1,-6
EV,4299,EWR,1,82
EV,4299,EWR,1,96
EV,4299,EWR,1,40
EV,4300,EWR,1,51
EV,4322,EWR,1,166
EV,4323,EWR,1,-4
EV,4326,EWR,1,
EV,4364,EWR,1,37
EV,4364,EWR,1,-4
EV,4372,EWR,1,0
EV,4373,EWR,1,4
EV,4373,EWR,1,-2
EV,4383,EWR,1,58
EV,4383,EWR,1,52
EV,4397,EWR,1,96
EV,4404,EWR,1,-1
EV,4445,EWR,1,-4
EV,4485,EWR,1,-3
EV,4485,EWR,1,10
EV,4536,EWR,1,36
EV,4576,EWR,1,329
EV,4581,EWR,1,9
EV,4628,EWR,1,-16
EV,4636,EWR,1,13
EV,4638,EWR,1,
EV,4640,EWR,1,-1
EV,4641,EWR,1,-3
EV,4667,EWR,1,30
EV,4687,EWR,1,62
EV,4687,EWR,1,13
EV,4950,EWR,1,-1
EV,4997,EWR,1,13
EV,4997,EWR,1,-4
EV,5026,EWR,1,0
EV,5163,LGA,1,-4
EV,5712,JFK,1,-8
HA,51,JFK,1,-4
HA,51,JFK,1,0
MQ,3695,EWR,1,82
MQ,3695,EWR,1,7
MQ,3737,EWR,1,-5
MQ,3737,EWR,1,-5
MQ,3944,JFK,1,-5
MQ,3985,JFK,1,-7
MQ,4172,JFK,1,0
MQ,4309,JFK,1,-3
MQ,4403,JFK,1,-9
MQ,4410,JFK,1,8
MQ,4423,JFK,1,34
MQ,4423,JFK,1,-7
MQ,4426,LGA,1,-2
MQ,4429,LGA,1,-2
MQ,4447,LGA,1,-7
MQ,4471,LGA,1,-1
MQ,4478,LGA,1,-8
MQ,4479,LGA,1,18
MQ,4485,LGA,1,-7
MQ,4485,LGA,1,-7
MQ,4517,LGA,1,36
MQ,4521,LGA,1,-5
MQ,4534,LGA,1,-9
MQ,4540,LGA,1,-6
MQ,4555,LGA,1,-3
MQ,4555,LGA,1,-10
MQ,4577,LGA,1,-5
MQ,4584,LGA,1,0
MQ,4588,LGA,1,-7
MQ,4589,LGA,1,12
MQ,4610,LGA,1,-7
MQ,4610,LGA,1,-9
MQ,4622,LGA,1,16
MQ,4660,LGA,1,-6
UA,15,EWR,1,2
UA,41,EWR,1,4
UA,54,EWR,1,24
UA,226,EWR,1,-4
UA,279,EWR,1,4
UA,298,EWR,1,3
UA,299,EWR,1,38
UA,315,EWR,1,-2
UA,370,EWR,1,-5
UA,385,EWR,1,48
UA,386,EWR,1,-6
UA,393,LGA,1,2
UA,402,EWR,1,-4
UA,421,EWR,1,-3
UA,424,EWR,1,-3
UA,424,EWR,1,8
UA,425,EWR,1,0
UA,430,EWR,1,-1
UA,430,EWR,1,5
UA,465,EWR,1,84
UA,473,EWR,1,7
UA,477,EWR,1,253
UA,509,LGA,1,-5
UA,512,JFK,1,-6
UA,535,JFK,1,-4
UA,572,JFK,1,-1
UA,575,EWR,1,-4
UA,583,EWR,1,-5
UA,594,EWR,1,-4
UA,594,EWR,1,-4
UA,634,EWR,1,-1
UA,655,EWR,1,-4
UA,721,LGA,1,-7
UA,738,EWR,1,0
UA,741,EWR,1,2
UA,783,EWR,1,14
UA,789,EWR,1,-3
UA,789,EWR,1,-7
UA,812,EWR,1,95
UA,979,EWR,1,-3
UA,1004,EWR,1,6
UA,1018,EWR,1,-3
UA,1018,EWR,1,3
UA,1018,EWR,1,-2
UA,1030,JFK,1,-4
UA,1075,EWR,1,4
UA,1100,EWR,1,-1
UA,1132,EWR,1,3
UA,1134,EWR,1,4
UA,1134,EWR,1,3
UA,1137,EWR,1,38
UA,1146,EWR,1,14
UA,1183,EWR,1,8
UA,1186,EWR,1,1
UA,1207,EWR,1,13
UA,1221,EWR,1,91
UA,1223,EWR,1,-3
UA,1255,EWR,1,35
UA,1299,EWR,1,25
UA,1410,EWR,1,1
UA,1416,EWR,1,0
UA,1434,EWR,1,0
UA,1481,EWR,1,11
UA,1483,EWR,1,0
UA,1519,EWR,1,6
UA,1525,EWR,1,21
UA,1529,EWR,1,6
UA,1593,EWR,1,4
UA,1597,EWR,1,-10
UA,1601,EWR,1,-6
UA,1602,EWR,1,-12
UA,1655,EWR,1,0
UA,1703,EWR,1,1
US,35,JFK,1,2
US,35,JFK,1,-2
US,449,EWR,1,0
US,656,EWR,1,103
US,675,EWR,1,-2
US,681,EWR,1,-1
US,720,EWR,1,11
US,1103,EWR,1,4
US,1277,LGA,1,-2
US,1427,JFK,1,-5
