date,count,package
2020-01-01,1430,abind
2020-01-02,3044,abind
2020-01-03,3349,abind
2020-01-04,2451,abind
2020-01-05,2539,abind
2020-01-06,4567,abind
2020-01-07,5081,abind
2020-01-08,5716,abind
2020-01-09,5208,abind
2020-01-10,4676,abind
2020-01-11,2768,abind
2020-01-12,2785,abind
2020-01-13,5738,abind
2020-01-14,6716,abind
2020-01-15,6335,abind
2020-01-16,6524,abind
2020-01-17,5172,abind
2020-01-18,2816,abind
2020-01-19,2630,abind
2020-01-20,5272,abind
2020-01-21,6529,abind
2020-01-22,6453,abind
2020-01-23,6522,abind
2020-01-24,5422,abind
2020-01-25,2749,abind
2020-01-26,2883,abind
2020-01-27,5890,abind
2020-01-28,6415,abind
2020-01-29,6872,abind
2020-01-30,7391,abind
2020-01-31,6199,abind
2020-02-01,2985,abind
2020-02-02,2945,abind
2020-02-03,6269,abind
2020-02-04,7203,abind
2020-02-05,7694,abind
2020-02-06,7173,abind
2020-02-07,5966,abind
2020-02-08,3339,abind
2020-02-09,3223,abind
2020-02-10,6854,abind
2020-02-11,7712,abind
2020-02-12,7153,abind
2020-02-13,6626,abind
2020-02-14,5943,abind
2020-02-15,2994,abind
2020-02-16,3179,abind
2020-02-17,6552,abind
2020-02-18,7625,abind
2020-02-19,7655,abind
2020-02-20,7278,abind
2020-02-21,6003,abind
2020-02-22,3201,abind
2020-02-23,3336,abind
2020-02-24,6763,abind
2020-02-25,7614,abind
2020-02-26,7262,abind
2020-02-27,7557,abind
2020-02-28,6295,abind
2020-02-29,976,abind
2020-03-01,3550,abind
2020-03-02,7241,abind
2020-03-03,7309,abind
2020-03-04,7741,abind
2020-03-05,7477,abind
2020-03-06,6797,abind
2020-03-07,3373,abind
2020-03-08,3402,abind
2020-03-09,6992,abind
2020-03-10,6991,abind
2020-03-11,6567,abind
2020-03-12,6216,abind
2020-03-13,5309,abind
2020-03-14,3166,abind
2020-03-15,3132,abind
2020-03-16,5668,abind
2020-03-17,5862,abind
2020-03-18,6012,abind
2020-03-19,6061,abind
2020-03-20,5268,abind
2020-03-21,3532,abind
2020-03-22,3626,abind
2020-03-23,5956,abind
2020-03-24,6669,abind
2020-03-25,6706,abind
2020-03-26,6613,abind
2020-03-27,5904,abind
2020-03-28,3908,abind
2020-03-29,3969,abind
2020-03-30,6833,abind
2020-03-31,7105,abind
2020-04-01,6729,abind
2020-04-02,6567,abind
2020-04-03,6423,abind
2020-04-04,4205,abind
2020-04-05,3861,abind
2020-04-06,6678,abind
2020-04-07,6541,abind
2020-04-08,6482,abind
2020-04-09,5965,abind
2020-04-10,5497,abind
2020-04-11,3791,abind
2020-04-12,3969,abind
2020-04-13,5855,abind
2020-04-14,6496,abind
2020-04-15,6586,abind
2020-04-16,6839,abind
2020-04-17,6166,abind
2020-04-18,4227,abind
2020-04-19,4304,abind
2020-04-20,6930,abind
2020-04-21,7327,abind
2020-04-22,6968,abind
2020-04-23,6952,abind
2020-04-24,7010,abind
2020-04-25,5785,abind
2020-04-26,5789,abind
2020-04-27,8977,abind
2020-04-28,8793,abind
2020-04-29,8624,abind
2020-04-30,8201,abind
2020-05-01,6864,abind
2020-05-02,5653,abind
2020-05-03,5678,abind
2020-05-04,9320,abind
2020-05-05,9443,abind
2020-05-06,9830,abind
2020-05-07,8942,abind
2020-05-08,8114,abind
2020-05-09,5456,abind
2020-05-10,5513,abind
2020-05-11,8651,abind
2020-05-12,9191,abind
2020-05-13,9373,abind
2020-05-14,8962,abind
2020-05-15,7905,abind
2020-05-16,5527,abind
2020-05-17,5165,abind
2020-05-18,8450,abind
2020-05-19,8827,abind
2020-05-20,8300,abind
2020-05-21,7638,abind
2020-05-22,7099,abind
2020-05-23,4911,abind
2020-05-24,5032,abind
2020-05-25,7443,abind
2020-05-26,8293,abind
2020-05-27,8276,abind
2020-05-28,8444,abind
2020-05-29,7303,abind
2020-05-30,4825,abind
2020-05-31,4597,abind
2020-06-01,7244,abind
2020-06-02,8200,abind
2020-06-03,8528,abind
2020-06-04,8037,abind
2020-06-05,7018,abind
2020-06-06,4379,abind
2020-06-07,4914,abind
2020-06-08,7887,abind
2020-06-09,8318,abind
2020-06-10,7937,abind
2020-06-11,7429,abind
2020-06-12,6682,abind
2020-06-13,4337,abind
2020-06-14,4330,abind
2020-06-15,7743,abind
2020-06-16,7999,abind
2020-06-17,7845,abind
2020-06-18,7814,abind
2020-06-19,6805,abind
2020-06-20,4127,abind
2020-06-21,4065,abind
2020-06-22,7455,abind
2020-06-23,7572,abind
2020-06-24,6922,abind
2020-06-25,7097,abind
2020-06-26,6425,abind
2020-06-27,3869,abind
2020-06-28,3971,abind
2020-06-29,7210,abind
2020-06-30,7449,abind
2020-07-01,6691,abind
2020-07-02,6737,abind
2020-07-03,5487,abind
2020-07-04,3623,abind
2020-07-05,3524,abind
2020-07-06,6541,abind
2020-07-07,6526,abind
2020-07-08,6666,abind
2020-07-09,6890,abind
2020-07-10,7965,abind
2020-07-11,3447,abind
2020-07-12,3453,abind
2020-07-13,6702,abind
2020-07-14,6731,abind
2020-07-15,6751,abind
2020-07-16,7050,abind
2020-07-17,6287,abind
2020-07-18,3769,abind
2020-07-19,4194,abind
2020-07-20,7017,abind
2020-07-21,7054,abind
2020-07-22,7436,abind
2020-07-23,6791,abind
2020-07-24,6121,abind
2020-07-25,3479,abind
2020-07-26,3590,abind
2020-07-27,6965,abind
2020-07-28,7196,abind
2020-07-29,6851,abind
2020-07-30,6777,abind
2020-07-31,5696,abind
2020-08-01,3436,abind
2020-08-02,3773,abind
2020-08-03,7152,abind
2020-08-04,6582,abind
2020-08-05,6483,abind
2020-08-06,6515,abind
2020-08-07,5690,abind
2020-08-08,3517,abind
2020-08-09,3249,abind
2020-08-10,6470,abind
2020-08-11,6904,abind
2020-08-12,6967,abind
2020-08-13,6572,abind
2020-08-14,5529,abind
2020-08-15,3252,abind
